E(FCI) = -55.5211498325971
bonddim(chi)    1/chi   E1  d1  E2  d2
5	0.2	-55.5123691601205	0.0087806724765755	-55.4923220961138	0.0288277364832652
10	0.1	-55.5182214366707	0.002928395926375	-55.5145757913367	0.0065740412604355
15	0.0666666666666667	-55.5205165068162	6.333257808961E-4	-55.5183437486691	0.0028060839280357
20	0.05	-55.5210853936205	6.44389765938058E-5	-55.5195314592583	0.001618373338843
25	0.04	-55.5211429839732	6.84862385469387E-6	-55.5203132181475	8.366144495681E-4
30	0.0333333333333333	-55.5211495806647	2.51932377182129E-7	-55.5206747041535	4.751284435542E-4
40	0.025	-55.5211498308896	--	-55.520995120194	1.547124030736E-4
60	0.0166666666666667	-55.5211498328131	--	-55.521128511848	2.1320749127085E-5
80	0.0125	-55.5211498329388	--	-55.5211477356378	2.09695932085197E-6
100	0.01	-55.5211498330694	--	-55.5211498105632	2.20338876033566E-8
