E(FCI) = -74.6907819190702
bonddim(chi)    1/chi   E1  d1  E2  d2
30	0.0333333333333333	-74.6454200873946	0.0453618316755922	-74.6390147299828	0.0517671890874424
40	0.025	-74.6903110396584	4.708794118073E-4	-74.6417828693727	0.0489990496974712
50	0.02	-74.6906743584347	1.075606354845E-4	-74.6435259852098	0.0472559338603844
60	0.0166666666666667	-74.6907678398918	1.40791783707073E-5	-74.6842524089301	0.0065295101401545
70	0.0142857142857143	-74.6907784642386	3.45483161368065E-6	-74.6860047910648	0.0047771280053865
80	0.0125	-74.6907811079725	8.1109774896504E-7	-74.6873558454927	0.003426073577458
100	0.01	-74.690781910078	8.99220253813837E-9	-74.6888060296434	0.0019758894268164
120	0.00833333333333333	-74.6907819193569	--	-74.6896240245288	0.0011578945414498
150	0.00666666666666667	-74.6907819192255	--	-74.6903079397425	4.739793277224E-4
200	0.005	-74.6907819193565	--	-74.6907654092484	1.65098217905779E-5
