E(FCI) = -107.660206420054
bonddim(chi)    1/chi   E1  d1  E2  d2
30	0.0333333333333333	-107.659910867979	2.95552074973671E-4	-107.655291671859	0.00491474819516213
40	0.025	-107.660205305506	1.11454771456465E-6	-107.65732064629	0.00288577376433352
50	0.02	-107.660206407254	1.28004131738635E-8	-107.658739092266	0.00146732778834746
60	0.0166666666666667	-107.660206418193	--	-107.659674913405	5.31506648840718E-4
70	0.0142857142857143	-107.660206413558	--	-107.659959702503	2.46717550524522E-4
80	0.0125	-107.660206420229	--	-107.660121556533	8.48635205414894E-5
100	0.01	-107.660206420221	--	-107.660201249187	5.17086705542624E-6
120	0.00833333333333333	-107.660206420227	--	-107.660205846978	5.73076093246527E-7
150	0.00666666666666667	-107.660206420209	--	-107.660206391003	2.90514634571082E-8
200	0.005	-107.660206420226	--	-107.660206420059	--
