bonddim(chi)    1/chi	t(CA-DMRG)	t(DMRG)	t(CA-DMRG)/t(DMRG)	
40  0.025	36.9727846734694	15.9512494489796	2.3178613557344
50  0.02	63.1613047346939	23.6519459591837	2.6704485476033
60  0.0166666666666667	79.434199877551	37.1674293673469	2.13719918836618
70  0.0142857142857143	105.993052653061	48.379994122449	2.19084467816996
80  0.0125	146.784495612245	62.702347244898	2.3409728991316
100 0.01	208.559108816327	100.991000346939	2.06512568545568
120 0.00833333333333333	260.519848244898	141.592534469388	1.83992644259943
150 0.00666666666666667	401.873806877551	225.074403265306	1.78551537201608
200 0.005	609.043715489796	389.097020734694	1.56527468223683
