E(FCI) = -74.6907819190702
bonddim(chi)    1/chi   E1  d1  E2  d2
5	0.2	-55.4876352215887	0.0103520670726453	-55.4719095740143	0.0260777146470445
10	0.1	-55.4951105927132	0.0028766959482027	-55.4919495002369	0.0060377884244928
15	0.0666666666666667	-55.4969819872404	0.0010053014210313	-55.4951973554392	0.002789933222175
20	0.05	-55.4975920082521	3.952804092648E-4	-55.4963843747174	0.0016029139440405
25	0.04	-55.4977306523193	2.566363421294E-4	-55.4971275915385	8.596971229195E-4
30	0.0333333333333333	-55.4978214152332	1.658734281875E-4	-55.497546860368	4.404282934018E-4
40	0.025	-55.4979042393313	8.30493301009483E-5	-55.4978340904919	1.531981695137E-4
60	0.0166666666666667	-55.4979815271617	5.76149966491357E-6	-55.4979660773012	2.12113601918418E-5
80	0.0125	-55.4979866313155	6.57345893273487E-7	-55.4979851604546	2.12820683032078E-6
100	0.01	-55.4979872747199	1.39414737532206E-8	-55.4979872645361	2.41252990917928E-8
